;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Code;Course Name;Professor;Sessions;Incompatibilities
59;TRANSFORMING BUSINESS DEVELOPMENT IN THE AGE OF AI;Max Joseph Rascher;15;66, 12, 18, 38, 200F, 64,
61;VALUATION OF INTANGIBLES IN FOOTBALL CLUBS;ANA HERNANDEZ-ROS OTAMENDI;15;9, 11, 18, 33, 36, 200F, 40, 42, 53, 62,
62;VENTURE CAPITAL;Pablo SOLER BACH;15;3, 7, 9, 11, 12, 18, 68, 26, 36, 38, 200F, 40, 53, 61,
63;VENTURE LAB;Paris De L'etraz;15;29, 4, 5, 20, 21, 65, 37, 200F, 49, 57,
64;WIN ANY PITCH WITH STORY SELLING;VICTOR GAY ZARAGOZA;15;1, 7, 12, 18, 24, 34, 200F, 45, 70, 47, 54, 59,
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
